21571,The New Man and My Father,Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/Adrian_Melis_Sosa_TheNewManandMyFather/index.m3u8,,
26644,"Sentimentite (COVID-19 Global Lockdowns 53/100, from Chapter 6: The Pandemic)",NFT,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/Agnieszka_Kurant_Covid19_Global_Lockdowns/index.m3u8,,
26646,"Sentimentite (First death caused by self-driving car 84/100, from Chapter 9: Tech Futurism)",NFT,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/Agnieszka_Kurant_First_Death_Caused_By_Self_Driving_Car/index.m3u8,,
26642,"Sentimentite (Invasion of Ukraine 38/100, from Chapter 4: Reshaping World Order)",NFT,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/Agnieszka_Kurant_Invasion_of_Ukraine/index.m3u8,,
22621,At that time when everything was human,Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/AlineBaiana_AtThatTimeWhenEverythingWasHuman_EngSUBS/index.m3u8,,
38507,I WOULD LIKE TO BE MIDNIGHT / I WOULD LIKE TO BE SKY,Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/Amelia_Winger-Bearskin_IWouldLikeToBeMidnight/index.m3u8,,
25582,Elevación [Elevation],Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/AnaMar%C3%ADaMill%C3%A1n_Elevaci%C3%B3n/index.m3u8,,
21848,In The Air Tonight,Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/Andrew_Norman_Wilson_IntheAirTonight/index.m3u8,,
21074,Kodak,Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/Andrew_Norman_Wilson_Kodak/index.m3u8,,
21846,Z = |Z/Z•Z-1 mod 2|-1: Lavender Town Syndrome,Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/Andrew_Norman_Wilson_LavenderTownSyndrome/index.m3u8,,
18876,Kiss of the Rabbit God (???),Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/Andrew_Thomas_Huang_KissoftheRabbitGod/index.m3u8,,
26948,Angela Su’s True Calling,Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/AngelaSu_AngelaSusTrueCalling/index.m3u8,,
27931,Untitled (Wave),Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/Anne_Imhof_Wave/index.m3u8,,
19319,AUTOTROFIA,Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/Anton_Vidokle_Autrofia/index.m3u8,,
